Country;2014;2015;2016;2017;2018;2019;2020;2021;Total by year
Afghanistan;1;1;0;2;0;5;0;0;9
South Africa;0;0;1;4;3;0;1;3;12
Albania;9;6;6;1;4;3;1;0;30
Algeria;1;2;1;3;1;2;1;4;15
Saudi Arabia;0;0;0;0;0;1;0;0;1
Argentina;0;1;1;0;0;1;3;3;9
Armenia;29;29;33;32;31;35;23;27;239
Australia;2;5;2;4;11;1;5;3;33
Austria;15;18;10;12;15;7;7;14;98
Azerbaijan;37;65;61;80;171;256;86;141;897
Bahrain;0;0;0;0;1;0;0;0;1
Bangladesh;0;1;1;2;12;0;1;3;20
Belarus;33;45;36;27;42;48;27;40;298
Belgium;6;6;7;7;7;4;6;2;45
Bolivia;0;0;0;0;0;0;0;0;0
Bosnia-Herzegovina;1;2;1;2;1;3;2;0;12
Botswana;0;0;0;0;0;0;0;0;0
Brazil;12;9;19;15;13;9;6;7;90
Bulgaria;37;23;19;15;17;18;17;20;166
Burkina Faso;0;1;1;1;4;0;0;0;7
Cabo Verde;0;3;0;0;0;0;0;0;3
Cambodia;0;0;0;0;0;0;0;0;0
Cameroon;1;4;2;11;6;11;7;3;45
Canada;7;4;6;5;5;8;5;8;48
Czech Republic;10;3;15;8;8;5;7;4;60
China;26;28;36;24;27;35;12;35;223
Cyprus;6;6;3;5;8;4;3;3;38
Colombia;1;0;0;0;0;3;4;5;13
Congo;5;0;1;12;9;0;0;2;29
North Korea;1;0;0;1;6;1;0;0;9
South Korea;12;7;10;0;0;4;3;7;43
Costa Rica;11;0;0;0;0;0;0;0;11
Cote D'Ivoire;6;8;15;2;5;1;0;0;37
Croatia;6;12;12;6;6;9;4;3;58
Denmark;3;5;6;7;3;8;2;0;34
Dubai;0;0;0;1;0;0;0;0;1
UAE;0;2;0;0;1;2;2;4;11
Ecuador;1;2;0;0;0;0;0;0;3
Egypt;3;11;6;3;3;7;2;11;46
Switzerland;8;3;8;6;5;4;4;9;47
Estonia;3;4;1;1;4;1;3;7;24
Ethiopia;0;0;0;0;0;0;1;1;2
Philippines;3;1;2;3;3;1;1;3;17
Finland;22;6;11;4;7;1;2;3;56
France;42;43;29;41;33;43;22;17;270
Georgia;23;31;24;24;22;30;33;39;226
Germany;59;40;47;41;41;32;18;42;320
Ghana;0;3;0;0;2;0;1;5;11
Greece;26;20;18;14;15;14;13;8;128
Guinea-Bissau;0;0;1;0;0;0;0;0;1
Guinea;1;0;1;0;1;0;0;2;5
India;40;37;80;84;128;333;79;244;1025
Indonesia;0;6;5;6;4;6;4;5;36
Fiji Islands;0;0;0;0;1;0;0;0;1
Jordan;16;12;9;3;13;10;0;7;70
Iran;2;3;7;5;2;4;0;2;25
Iraq;33;18;15;2;7;5;1;2;83
Ireland;4;4;1;2;6;3;5;4;29
Israel;525;548;594;456;489;83;42;102;2839
Italy;206;180;170;139;130;118;81;116;1140
Japan;0;15;2;9;5;7;2;3;43
Kazakhstan;17;25;42;33;22;37;23;34;233
Kenya;0;0;0;0;0;0;0;1;1
Kyrgyzstan;18;23;14;13;23;27;17;13;148
Latvia;14;9;6;4;6;6;8;3;56
Lebanon;13;23;14;17;11;12;16;25;131
Libya;6;2;1;0;0;1;0;0;10
Liechtenstein;2;0;0;0;0;0;0;0;2
Lithuania;11;7;7;7;13;10;3;5;63
Luxembourg;0;0;0;0;1;1;5;2;9
Macedonia;1;6;6;1;1;0;1;3;19
Madagascar;1;0;0;0;0;1;1;0;3
Malaysia;0;0;0;0;1;1;1;0;3
Mali;0;0;1;0;0;1;0;5;7
Malta;0;0;0;0;1;1;0;1;3
United Kingdom;19;19;10;28;23;25;19;27;170
Morocco;5;3;0;0;3;2;0;2;15
Mauritania;1;0;0;0;0;0;1;0;2
Mexico;0;1;1;4;1;10;4;7;28
Mongolia;2;0;3;3;0;3;2;5;18
Montenegro;3;0;2;1;1;3;1;0;11
Myanmar;0;0;0;0;0;1;0;0;1
Nepal;2;0;1;1;2;1;11;17;35
Niger;0;0;0;1;0;0;0;2;3
Nigeria;2;2;12;5;6;13;24;37;101
Norway;7;14;5;9;4;1;1;1;42
New Zealand;1;0;1;2;0;0;2;1;7
Netherlands;9;14;13;12;8;8;7;7;78
Pakistan;14;8;10;1;7;18;3;8;69
Panama;0;0;0;0;0;0;0;0;0
Paraguay;0;0;0;0;0;0;0;2;2
Peru;0;1;1;1;1;2;2;9;17
Poland;27;22;31;18;20;16;10;24;168
Portugal;4;12;24;8;10;7;42;6;113
Qatar;0;1;0;1;0;0;0;1;3
Republic Korea;0;0;0;13;2;0;0;0;15
Romania;852;646;464;427;450;459;386;421;4105
Russia;516;567;705;685;683;739;426;538;4859
Senegal;0;1;1;0;0;0;1;0;3
Serbia;18;11;7;15;12;11;6;19;99
Sierra Leone;0;1;0;0;1;0;1;2;5
Singapore;0;0;0;0;0;5;0;0;5
Syria;34;33;20;15;24;9;12;23;170
Slovakia;3;4;5;12;6;6;2;2;40
Slovenia;0;1;0;3;3;2;1;3;13
Somali;0;0;0;0;0;0;0;0;0
Spain;21;37;12;14;18;17;16;16;151
Sri Lanka;0;0;2;0;0;0;3;2;7
U.S.;202;209;192;206;211;226;80;98;1424
Sudan;10;8;3;2;3;4;2;0;32
Sweden;16;21;17;10;15;9;4;4;96
Suriname;0;0;0;0;1;0;0;0;1
Tajikistan;16;16;15;20;26;47;23;65;228
Tanzania;0;0;2;0;1;0;0;1;4
Thailand;0;0;3;2;2;0;0;5;12
Togo;1;1;1;1;0;0;1;0;5
Tunisia;3;3;3;2;3;7;4;3;28
Turkey;421;347;293;245;430;760;432;797;3725
Turkmenistan;0;2;4;1;1;5;3;2;18
Ukraine;534;754;734;681;752;919;642;771;5787
Hungary;4;3;3;4;5;2;1;1;23
Uzbekistan;22;37;24;27;41;204;58;117;530
Venezuela;0;0;1;0;0;1;0;1;3
Viet Nam;6;5;1;1;3;2;0;3;21
Yemen;1;1;0;1;1;0;0;0;4
Not defined;31;26;26;18;26;25;16;11;179